,FEI Number,Legal Name,Ignore,Website,AddressProvided,City,State,Zip,Country/Area,Fiscal Year,Inspection ID,Posted Citations,Inspection End Date,Classification,Project Area,Product Type,FMD-145 Date
2910,3012823434.0,"StimLabs, LLC",yes,https://stimlabs.com/,-,Roswell,Georgia,30076,United States,2022.0,1167413.0,No,4/7/2022,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
2016,3007934611.0,ORTHOLOGIC LLC,yes,-,-,Birmingham,Alabama,35243,United States,2022.0,1169179.0,No,5/2/2022,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
2021,3008961297.0,Orthority Corporation,yes,-,-,Caguas,Puerto Rico,725,United States,2022.0,1162402.0,No,2/8/2022,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
2938,3003947376.0,American Donor Services,yes,https://www.americandonorservices.org/,-,Cottage Grove,Minnesota,55016,United States,2022.0,1172621.0,No,5/26/2022,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
1202,3006803588.0,"Folsom Metal Products, Inc.",yes,-,-,Pelham,Alabama,35124,United States,2022.0,1162055.0,No,2/8/2022,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
479,3011640184.0,UW Health at The American Center,yes,https://www.uwhealth.org/locations/,-,Madison,Wisconsin,53718,United States,2022.0,1164760.0,No,3/16/2022,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
2449,3008806154.0,Society Hill Reproductive Medicine,yes,-,-,Philadelphia,Pennsylvania,19107,United States,2022.0,1165539.0,No,3/9/2022,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
2446,3020109322.0,"SNP Fertility OKC, LLC",yes,-,-,Oklahoma City,Oklahoma,73112,United States,2022.0,1168175.0,No,4/14/2022,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
1860,3001236616.0,"Musculoskeletal Transplant Foundation, Inc.",yes,-,-,Edison,New Jersey,8837,United States,2022.0,1166490.0,No,3/9/2022,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
2974,3020027017.0,"San Francisco Fertility Centers, A Medical Corporation",yes,https://www.ccrmivf.com/sanfrancisco/,-,Greenbrae,California,94904,United States,2022.0,1172386.0,No,6/9/2022,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
1623,3001456156.0,Lions Eye Bank Of Nebraska,yes,-,-,Omaha,Nebraska,68105,United States,2022.0,1158725.0,No,12/13/2021,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
497,3003909013.0,Atrium Health Wake Forest Baptist,yes,https://www.wakehealth.edu/,-,Winston Salem,North Carolina,27103,United States,2022.0,1157296.0,No,11/22/2021,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
317,2513291.0,"Eurofins Lancaster Laboratories, Inc",-,https://www.eurofinsus.com/biopharma-services/biopharma-testing-services/biopharma-product-testing/us-locations/lancaster-pa/,-,Lancaster,Pennsylvania,17601,United States,2022.0,1156933.0,No,10/21/2021,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
1388,3014741216.0,"Indiana Fertility Providers, LLC",yes,-,-,Fort Wayne,Indiana,46825,United States,2022.0,1167581.0,No,3/22/2022,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
780,3008079473.0,CDC Medical LLC,yes,-,-,Columbus,Ohio,43215,United States,2022.0,1154960.0,No,10/14/2021,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
2030,3004961294.0,OU Health Reproductive Medicine Lab,yes,-,-,Oklahoma City,Oklahoma,73104,United States,2022.0,1170087.0,No,4/18/2022,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
119,3018805840.0,Kindbody Silicon Valley,yes,https://kindbody.com/,-,Los Altos,California,94022,United States,2022.0,1169781.0,No,4/28/2022,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
120,3019744928.0,Kindbody Princeton,yes,https://kindbody.com/location-princeton/,-,Princeton,New Jersey,8542,United States,2022.0,1155886.0,No,11/2/2021,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
904,3011393264.0,"Coqui Blood Salvage, Inc",yes,-,-,Caguas,Puerto Rico,727,United States,2022.0,1156494.0,No,11/5/2021,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
2204,3017397143.0,Reproductive Medicine Associates of San Diego,yes,-,-,San Diego,California,92121,United States,2022.0,1167682.0,No,4/12/2022,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
125,3003447141.0,Legacy of Hope,-,https://legacyofhope.org,-,Birmingham,Alabama,35233,United States,2022.0,1165715.0,No,3/22/2022,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
1062,3009752081.0,Embryo Donation International,yes,-,-,Fort Myers,Florida,33907,United States,2022.0,1165226.0,No,3/18/2022,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
128,3001238470.0,LifeLink of Puerto Rico,yes,https://lifelinkfoundation.org,-,Guaynabo,Puerto Rico,968,United States,2022.0,1170936.0,No,5/20/2022,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
785,3003945126.0,Center For Advanced Reproductive Medicine & Fertility,yes,-,-,Edison,New Jersey,8817,United States,2022.0,1167958.0,No,4/14/2022,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
2946,3003562332.0,"South Tech Orthopedics, Inc",yes,https://www.arthrex.com/distributors/southtech-orthopedics,-,Raleigh,North Carolina,27616,United States,2022.0,1165593.0,No,2/24/2022,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
901,3003914874.0,"Cooper Institute for Reproductive Hormonal Disorders, P.C.",yes,-,-,Mount Laurel,New Jersey,8054,United States,2022.0,1167728.0,No,4/1/2022,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
2907,3016851352.0,Pacific Medical Inc,yes,https://pacmedical.com/,-,Fresno,California,93710,United States,2022.0,1163852.0,No,2/14/2022,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
163,3003380161.0,"Promethean LifeSciences, Inc.",-,https://pl-s.com/,-,Pittsburgh,Pennsylvania,15219,United States,2022.0,1172008.0,No,6/9/2022,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
1886,3004514148.0,New England Fertility Institute,yes,-,-,Stamford,Connecticut,6905,United States,2022.0,1156769.0,No,11/9/2021,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
828,3000718786.0,Cincinnati Eye Bank for Sight Restoration LLC,yes,-,-,Cincinnati,Ohio,45241,United States,2022.0,1162778.0,No,2/16/2022,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
2846,3015930940.0,Fortis Surgical LLC,yes,http://fortis-surgical.com/,-,Glen Allen,Virginia,23060,United States,2022.0,1167031.0,No,4/6/2022,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
831,3016730660.0,Cleveland Clinic Akron General Fertility Laboratory,yes,-,-,Akron,Ohio,44333,United States,2022.0,1156967.0,No,11/12/2021,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
598,3004628096.0,Arizona Andrology Laboratory & Cryobank,yes,-,-,Tucson,Arizona,85710,United States,2022.0,1162971.0,No,2/10/2022,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
2347,3009672546.0,"Seattle Reproductive Medicine, Inc., P.S.",yes,-,-,Bellevue,Washington,98004,United States,2022.0,1171334.0,No,4/7/2022,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
1953,1000404960.0,Northwest Fertility Center,yes,-,-,Portland,Oregon,97201,United States,2022.0,1164561.0,No,3/10/2022,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
590,3003969128.0,"American Infertility of New York, P.C.",yes,-,-,New York,New York,10021,United States,2022.0,1167650.0,No,4/11/2022,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
1543,3009510454.0,Legacy Donor Services Foundation,yes,-,-,Jacksonville,Florida,32216,United States,2022.0,1162876.0,No,2/17/2022,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
1471,3004453319.0,IVFMD - Advanced Reproductive Laboratory,yes,-,-,Irving,Texas,75063,United States,2022.0,1163350.0,No,2/16/2022,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
215,3004080549.0,Immunology and Histocompatibility Lab,-,https://umiamihealth.org/,-,Miami,Florida,33136,United States,2022.0,1163639.0,No,3/2/2022,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
2310,3010121355.0,"Safetycord USA, Inc",yes,-,-,San Juan,Puerto Rico,921,United States,2022.0,1157962.0,No,11/18/2021,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
2344,3009200268.0,Sea Pearl East Inc.,yes,-,-,Glen Rock,New Jersey,7452,United States,2022.0,1166238.0,No,3/24/2022,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
1525,3000718792.0,"KLEB, Inc",yes,-,-,Lexington,Kentucky,40511,United States,2022.0,1163378.0,No,2/23/2022,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
1482,3012841010.0,John F Freer LLC,yes,-,-,Mountainside,New Jersey,7092,United States,2022.0,1162053.0,No,2/9/2022,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
864,1570984.0,Community Blood Center,yes,-,-,Dayton,Ohio,45402,United States,2022.0,1156373.0,No,11/2/2021,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
863,3000718784.0,Community Blood Center,yes,-,-,Toledo,Ohio,43615,United States,2022.0,1165920.0,No,3/11/2022,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
1126,3003926612.0,"Fertility Center and Applied Genetics of Florida, Inc.",yes,-,-,Sarasota,Florida,34233,United States,2022.0,1171193.0,No,5/17/2022,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
1489,3008599177.0,"K2M, Inc.",yes,-,-,Leesburg,Virginia,20175,United States,2022.0,1168720.0,No,4/21/2022,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
1494,3006304159.0,Kaiser Permanente Center For Reproductive Health,yes,-,-,Sacramento,California,95815,United States,2022.0,1157271.0,No,11/17/2021,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
1518,3018115700.0,"Klatsky, Peter Charles, MD, Inc",yes,-,-,Danville,California,94526,United States,2022.0,1164784.0,No,3/9/2022,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
1930,3004272066.0,North Houston Center for Reproductive Medicine dba Hart Fertility Center,yes,-,-,Shenandoah,Texas,77384,United States,2022.0,1162284.0,No,2/9/2022,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
568,3017393442.0,AFMC Diamond Lab,yes,-,-,Diamond Bar,California,91765,United States,2022.0,1158817.0,No,12/9/2021,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
2360,3019411058.0,Seattle Sperm Bank LLC,yes,-,-,Bellevue,Washington,98004,United States,2022.0,1153934.0,No,10/6/2021,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
1556,3003415260.0,Life Alliance Organ Recovery Agency,yes,-,-,Miami,Florida,33136,United States,2022.0,1157649.0,No,11/2/2021,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
1086,3012822744.0,"Eurofins Donor & Product Testing, Inc. Atlanta",yes,-,-,Marietta,Georgia,30067,United States,2022.0,1174965.0,No,7/12/2022,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
2746,3010600137.0,"Vivere New Orleans Fertility Laboratory, L.L.C.",yes,-,-,New Orleans,Louisiana,70115,United States,2022.0,1166791.0,No,3/10/2022,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
2896,3001238368.0,Iowa Lions Eye Bank,yes,https://iowalionseyebank.org/,-,Coralville,Iowa,52241,United States,2022.0,1155871.0,No,10/20/2021,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
287,3004893403.0,Cell Applications Inc,yes,https://www.cellapplications.com/,-,San Diego,California,92121,United States,2022.0,1166930.0,No,4/5/2022,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
1424,3004557155.0,Integris Bennett Fertility Institute,yes,-,-,Oklahoma City,Oklahoma,73112,United States,2022.0,1168197.0,No,4/15/2022,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
1426,3007836456.0,"Integrity Biosurgical Systems, Inc.",yes,-,-,Andover,New Jersey,7821,United States,2022.0,1169041.0,No,5/2/2022,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
286,3015434301.0,Catalent Maryland Inc,yes,https://www.catalent.com,-,Harmans,Maryland,21077,United States,2022.0,1156961.0,No,11/17/2021,Voluntary Action Indicated (VAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
2894,1971880.0,Research Medical Center,yes,https://hcamidwest.com,-,Kansas City,Missouri,64132,United States,2022.0,1165973.0,No,3/9/2022,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
2893,3017547540.0,NM FRM Andrology Services West,yes,https://fertility.nm.org/ivf-andrology-lab.html,-,Oakbrook Terrace,Illinois,60181,United States,2022.0,1165165.0,No,3/21/2022,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
1089,3013962812.0,"Extend Fertility, LLC",yes,-,-,New York,New York,10019,United States,2022.0,1169326.0,No,5/3/2022,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
2890,3000718790.0,Lions Eye Bank of West Central Ohio,yes,https://donatesight.org/,-,Dayton,Ohio,45439,United States,2022.0,1162210.0,No,2/9/2022,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
2889,3006850594.0,South Dakota Lions Eye and Tissue Bank Inc,yes,https://dakotasight.org/,-,Rapid City,South Dakota,57703,United States,2022.0,1167916.0,No,4/14/2022,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
625,3013225167.0,Aspire Fertility Institute McAllen,yes,-,-,Mcallen,Texas,78504,United States,2022.0,1175325.0,No,7/12/2022,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
812,3016710576.0,Central Coast Cryobank,yes,-,-,San Luis Obispo,California,93405,United States,2022.0,1165128.0,No,3/1/2022,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
1443,3017935292.0,IVF Laboratories of Fort Worth LLC,yes,-,-,Fort Worth,Texas,76104,United States,2022.0,1160587.0,No,12/28/2021,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
1093,3017876301.0,"Fahimeh Sasan, D.O., P.C.",yes,-,-,Los Angeles,California,90067,United States,2022.0,1170504.0,No,5/20/2022,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
2257,3009746947.0,"ReproTech, LTD.",yes,-,-,Garland,Texas,75042,United States,2022.0,1162418.0,No,2/14/2022,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
2864,3008847058.0,"Mid-Atlantic Surgical Systems, LLC",yes,http://www.masurgical.com/,-,Carnegie,Pennsylvania,15106,United States,2022.0,1173785.0,No,6/30/2022,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
190,3011194531.0,"Spark Therapeutics, Inc.",-,https://sparktx.com/,-,Philadelphia,Pennsylvania,19104,United States,2022.0,1171797.0,No,3/4/2022,Voluntary Action Indicated (VAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
2370,3016710947.0,"SGF Tampa Bay, LLC",yes,-,-,Wesley Chapel,Florida,33543,United States,2022.0,1159440.0,No,12/6/2021,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
1914,3020023225.0,New York University Langone Fertility Center,yes,-,-,New York,New York,10001,United States,2022.0,1169534.0,No,5/13/2022,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
2855,3003415663.0,American Tissue Services Foundation,yes,http://www.atsfoundation.org/,-,Glendale,Arizona,85303,United States,2022.0,1157286.0,No,11/16/2021,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
2854,3005463425.0,American Tissue Services Foundation,yes,http://www.atsfoundation.org/,-,Kimberly,Wisconsin,54136,United States,2022.0,1170922.0,No,5/4/2022,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
2980,3017876311.0,CNY Fertility Center,yes,https://www.cnyfertility.com/,-,Williamsville,New York,14221,United States,2022.0,1170861.0,No,5/26/2022,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
571,3004571445.0,AHN Center for Reproductive Medicine,yes,-,-,Pittsburgh,Pennsylvania,15237,United States,2022.0,1162459.0,No,2/9/2022,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
2984,3003374197.0,Donor Network of Arizona,yes,https://www.dnaz.org/,-,Tempe,Arizona,85281,United States,2022.0,1174148.0,No,6/6/2022,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
361,3014442322.0,LifeNet Health,yes,https://www.lifenethealth.org/,-,Virginia Beach,Virginia,23453,United States,2022.0,1170107.0,No,5/13/2022,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
1310,3020109315.0,Havencryo,yes,-,-,San Antonio,Texas,78249,United States,2022.0,1155128.0,No,10/12/2021,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
1290,3000718079.0,Greater Delaware Valley Society of Transplant Surgeons,yes,-,-,Philadelphia,Pennsylvania,19123,United States,2022.0,1160545.0,No,11/30/2021,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
1795,3005620268.0,Midwest Fertility Specialists,yes,-,-,Fort Wayne,Indiana,46825,United States,2022.0,1167518.0,No,3/22/2022,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
3093,3000281640.0,Harborview Medical Center,yes,https://www.uwmedicine.org,-,Seattle,Washington,98104,United States,2022.0,1167127.0,No,3/28/2022,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
2078,3018694215.0,Piedmont Reproductive Endocrinology Associates Lowcountry,yes,-,-,Summerville,South Carolina,29486,United States,2022.0,1164680.0,No,3/7/2022,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
1324,3018123061.0,"Hematopoietic Stem Cell Transplanation and Cellular Therapy, UCI Medical Center",yes,-,-,Orange,California,92868,United States,2022.0,1155155.0,No,10/19/2021,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
3050,3001238030.0,Oklahoma Lions Eye Bank,yes,https://www.oklahomalionseyebank.org/,-,Oklahoma City,Oklahoma,73105,United States,2022.0,1167937.0,No,4/13/2022,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
3096,1625963.0,Audie L Murphy Memorial VA Hospital,yes,https://www.va.gov/south-texas-health-care/locations/audie-l-murphy-memorial-veterans-hospital/,-,San Antonio,Texas,78229,United States,2022.0,1166935.0,No,4/1/2022,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
3049,3014740577.0,Norm Biologics Inc.,yes,https://www.nobelbiocare.com/en-us,-,Miami,Florida,33166,United States,2022.0,1164723.0,No,3/10/2022,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
3046,3011394270.0,"New Jersey Organ & Tissue Sharing Network, Inc.",yes,https://www.njsharingnetwork.org/,-,Edison,New Jersey,8837,United States,2022.0,1173810.0,No,7/5/2022,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
2555,3005089827.0,"Tarrant Eye Resources, Inc.",yes,-,-,Fort Worth,Texas,76104,United States,2022.0,1164738.0,No,3/10/2022,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
3045,3011120523.0,"Mount Sinai Health System (MSHS), Mount Sinai Hospital Hess Center for Science and Medicine",yes,https://www.mountsinai.org/,-,New York,New York,10029,United States,2022.0,1170792.0,No,5/25/2022,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
3044,3003435198.0,MGH Bone Bank,yes,https://www.massgeneral.org/endocrinology/endocrine-unit/treatments-and-services/bone-density,-,Boston,Massachusetts,2114,United States,2022.0,1165234.0,No,3/2/2022,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
3098,3003892518.0,The Valley Hospital Fertility Center,yes,https://www.valleyhealth.com/locations/valley-hospital-fertility-center,-,Paramus,New Jersey,7652,United States,2022.0,1171684.0,No,6/2/2022,No Action Indicated (NAI),"Human Cellular, Tissue, and Gene Therapies",Biologics,-
