,Legal Name,City,State,Zip,Country/Area,lat,lon,display,address
11,Thread Labs Santa Barbara LLC,Santa Barbara,California,93105,United States,34.44182074485592,-119.73297260626607,"Santa Barbara, Santa Barbara County, California, 93105, United States","93105 , Santa Barbara , California"
12,"Fahimeh Sasan, D.O., P.C.",Los Angeles,California,90067,United States,33.9419393,-118.43808037530732,"LAX El Segundo Dunes Preserve, Playa del Rey, Los Angeles, Los Angeles County, California, United States","90067 , Los Angeles , California"
13,LifeLink of Puerto Rico,Guaynabo,Puerto Rico,00968,United States,18.3581491,-66.1116969,"Guaynabo, Puerto Rico, United States","00968 , Guaynabo , Puerto Rico"
14,"Vitalife, Inc.",San Juan,Puerto Rico,00927,United States,-26.7982582,-55.0228553,"San Juan, Citrex, Puerto Rico, Municipio de Puerto Rico, Departamento Libertador General San Martín, Misiones, 3331, Argentina","00927 , San Juan , Puerto Rico"
15,LifeNet Health,Virginia Beach,Virginia,23453,United States,36.78757313226631,-76.08267106391901,"Virginia Beach, Virginia, 23453, United States","23453 , Virginia Beach , Virginia"
16,"Unicare Biomedical, Inc.",Laguna Hills,California,92653,United States,33.59414446306805,-117.6996269227219,"Acacia Knolls, Laguna Hills, Orange County, California, 92653, United States","92653 , Laguna Hills , California"
17,Universal Medical Products Inc,Perrysburg,Ohio,43551,United States,41.542379318915664,-83.60829821831325,"Perrysburg, Wood County, Ohio, 43551, United States","43551 , Perrysburg , Ohio"
18,American Tissue Services Foundation,Kimberly,Wisconsin,54136,United States,44.26580775625,-88.33389556875,"Kimberly, Outagamie County, Wisconsin, 54136, United States","54136 , Kimberly , Wisconsin"
19,ORTHOLOGIC LLC,Birmingham,Alabama,35243,United States,33.48629325,-86.78168366983525,"Alabama Wilds, Birmingham, Jefferson County, Alabama, United States","35243 , Birmingham , Alabama"
20,Dental Health Products Inc.,New Franken,Wisconsin,54229,United States,44.5308273,-87.82593,"New Franken, Town of Humboldt, Brown County, Wisconsin, 54229, United States","54229 , New Franken , Wisconsin"
21,Kindbody Silicon Valley,Los Altos,California,94022,United States,37.383327040163934,-122.11456647131148,"Los Altos, Santa Clara County, California, 94022, United States","94022 , Los Altos , California"
22,"K2M, Inc.",Leesburg,Virginia,20175,United States,39.094958595729686,-77.5843338460199,"Leesburg, Loudoun County, Virginia, 20175, United States","20175 , Leesburg , Virginia"
23,Special Procedures Laboratory,Houston,Texas,77030,United States,29.705316533084577,-95.40499932139303,"Houston, Harris County, Texas, 77030, United States","77030 , Houston , Texas"
24,"SSM-SLUH, Inc.",Saint Louis,Missouri,63104,United States,38.61091282550806,-90.21530774943938,"Saint Louis, Missouri, 63104, United States","63104 , Saint Louis , Missouri"
25,CRM Alabama LLC,Mobile,Alabama,36607,United States,30.696533100906343,-88.0997515060423,"Mobile, Mobile County, Alabama, 36607, United States","36607 , Mobile , Alabama"
26,Wright Medical Technology Inc,Columbus,Ohio,43229,United States,40.07416759199918,-82.97077208603454,"Columbus, Franklin County, Ohio, 43229, United States","43229 , Columbus , Ohio"
27,South Dakota Lions Eye and Tissue Bank Inc,Rapid City,South Dakota,57703,United States,44.07330448533334,-103.16577464133333,"Rapid City, Pennington County, South Dakota, 57703, United States","57703 , Rapid City , South Dakota"
28,"Peter Charles Klatsky, M.D., Inc.",San Francisco,California,94105,United States,37.78855734101124,-122.39681788089888,"San Francisco, California, 94105, United States","94105 , San Francisco , California"
29,"StimLabs, LLC",Roswell,Georgia,30076,United States,34.028465755940736,-84.31715294564346,"Roswell, Fulton County, Georgia, 30076, United States","30076 , Roswell , Georgia"
30,Northwell Health Laboratories,Little Neck,New York,11362,United States,40.7620463,-73.7381874,"Little Neck, Queens County, City of New York, New York, 11362, United States","11362 , Little Neck , New York"
31,PLATFORM LLC,Plainville,Connecticut,06062,United States,41.6747938,-72.84266826794263,"Connecticut Commons, Plainville, Hartford County, Connecticut, United States","06062 , Plainville , Connecticut"
32,Cell Applications Inc,San Diego,California,92121,United States,32.900813062685096,-117.19246019723596,"San Diego, San Diego County, California, 92121, United States","92121 , San Diego , California"
33,Sea Pearl East Inc.,Glen Rock,New Jersey,07452,United States,40.9628758,-74.1329208,"Glen Rock, Bergen County, New Jersey, 07452, United States","07452 , Glen Rock , New Jersey"
34,Biothread Dental Implants Inc,Palmetto Bay,Florida,33157,United States,25.60639884265181,-80.34884571765784,"Palmetto Bay, Miami-Dade County, Florida, 33157, United States","33157 , Palmetto Bay , Florida"
35,"Peter Charles Klatsky, M.D., Inc.",Oakland,California,94612,United States,37.808829976884425,-122.26801784824121,"Oakland, Alameda County, California, 94612, United States","94612 , Oakland , California"
36,Legacy of Hope,Birmingham,Alabama,35233,United States,33.50745099579832,-86.80231119159664,"Birmingham, Jefferson County, Alabama, 35233, United States","35233 , Birmingham , Alabama"
37,UW Health at The American Center,Madison,Wisconsin,53718,United States,43.0746978,-89.3841692,"Wisconsin, 2, East Main Street, First Settlement, Madison, Dane County, Wisconsin, 53703, United States","53718 , Madison , Wisconsin"
38,Norm Biologics Inc.,Miami,Florida,33166,United States,25.822887487413503,-80.30494796518731,"Miami Springs, Miami-Dade County, Florida, 33166, United States","33166 , Miami , Florida"
39,"Tarrant Eye Resources, Inc.",Fort Worth,Texas,76104,United States,32.729904709205776,-97.32030240577618,"Fort Worth, Tarrant County, Texas, 76104, United States","76104 , Fort Worth , Texas"
40,"Klatsky, Peter Charles, MD, Inc",Danville,California,94526,United States,37.81593860674603,-121.99178510277775,"Danville, Contra Costa County, California, 94526, United States","94526 , Danville , California"
41,Oregon Health & Science University,Portland,Oregon,97239,United States,45.4964644,-122.68287917483792,"Portland VA Medical Center, Terwilliger Trail, Marquam Hill, Homestead, Portland, Multnomah County, Oregon, 97239, United States","97239 , Portland , Oregon"
42,Immunology and Histocompatibility Lab,Miami,Florida,33136,United States,25.787314178627003,-80.20404218192219,"Miami, Miami-Dade County, Florida, 33136, United States","33136 , Miami , Florida"
43,Texas Procurement LLC,River Oaks,Texas,76114,United States,32.77518025397197,-97.3986575042056,"River Oaks, Tarrant County, Texas, 76114, United States","76114 , River Oaks , Texas"
44,LifeNet Health,Virginia Beach,Virginia,23455,United States,36.88691722877375,-76.14441034763375,"Virginia Beach, Virginia, 23455, United States","23455 , Virginia Beach , Virginia"
45,"South Tech Orthopedics, Inc",Raleigh,North Carolina,27616,United States,35.87203545078125,-78.55087102018229,"Raleigh, Wake County, North Carolina, 27616, United States","27616 , Raleigh , North Carolina"
46,"KLEB, Inc",Lexington,Kentucky,40511,United States,38.09496481522935,-84.50481703926604,"Lexington, Fayette County, Kentucky, 40511, United States","40511 , Lexington , Kentucky"
47,Peter Charles Klatsky MD Inc,San Francisco,California,94109,United States,37.79403314908486,-122.42043294475872,"San Francisco, California, 94109, United States","94109 , San Francisco , California"
48,"KryoCal, LLC dba Kryosphere",Cary,North Carolina,27513,United States,35.79134895945946,-78.81702281689189,"Cary, Wake County, North Carolina, 27513, United States","27513 , Cary , North Carolina"
49,Southern Edge Orthopaedics,Jupiter,Florida,33477,United States,26.92065174317181,-80.07816978722468,"Jupiter, Palm Beach County, Florida, 33477, United States","33477 , Jupiter , Florida"
50,Pacific Medical Inc,Fresno,California,93710,United States,36.835030613559326,-119.81241469830508,"Fresno, Fresno County, California, 93710, United States","93710 , Fresno , California"
51,John F Freer LLC,Mountainside,New Jersey,07092,United States,40.6723242,-74.3573722,"Mountainside, Union County, New Jersey, 07092, United States","07092 , Mountainside , New Jersey"
52,"Folsom Metal Products, Inc.",Pelham,Alabama,35124,United States,33.3175071986456,-86.79340498013543,"Pelham, Shelby County, Alabama, 35124, United States","35124 , Pelham , Alabama"
53,Orthority Corporation,Caguas,Puerto Rico,00725,United States,18.2345399,-66.0351316,"Caguas, Puerto Rico, United States","00725 , Caguas , Puerto Rico"
54,Tri County Surgery Center,Thousand Oaks,California,91361,United States,34.15572909545455,-118.83504546818182,"Thousand Oaks, Ventura County, California, 91361, United States","91361 , Thousand Oaks , California"
55,AFMC Diamond Lab,Diamond Bar,California,91765,United States,34.00734638835979,-117.81298765880577,"Diamond Bar, Los Angeles County, California, 91765, United States","91765 , Diamond Bar , California"
56,"SGF Tampa Bay, LLC",Wesley Chapel,Florida,33543,United States,28.1866014,-82.36612096903323,"Wesley Chapel, Pasco County, Florida, United States","33543 , Wesley Chapel , Florida"
57,HonorBridge,Winston Salem,North Carolina,27103,United States,36.06391108983254,-80.30756845538278,"Winston-Salem, Forsyth County, North Carolina, 27103, United States","27103 , Winston Salem , North Carolina"
58,Organogenesis Inc.,Vestavia Hills,Alabama,35216,United States,33.41961499549114,-86.79021291304348,"Vestavia Hills, Jefferson County, Alabama, 35216, United States","35216 , Vestavia Hills , Alabama"
59,Atrium Health Wake Forest Baptist,Winston Salem,North Carolina,27103,United States,36.06391108983254,-80.30756845538278,"Winston-Salem, Forsyth County, North Carolina, 27103, United States","27103 , Winston Salem , North Carolina"
60,"Safetycord USA, Inc",San Juan,Puerto Rico,00921,United States,-26.7982582,-55.0228553,"San Juan, Citrex, Puerto Rico, Municipio de Puerto Rico, Departamento Libertador General San Martín, Misiones, 3331, Argentina","00921 , San Juan , Puerto Rico"
61,American Tissue Services Foundation,Glendale,Arizona,85303,United States,33.53777125662188,-112.21931715374281,"Glendale, Maricopa County, Arizona, 85303, United States","85303 , Glendale , Arizona"
62,Reina Medical Solutions,Hinckley,Ohio,44233,United States,41.24789919405941,-81.74149964752475,"Hinckley Township, Medina County, Ohio, 44233, United States","44233 , Hinckley , Ohio"
63,"Arms, Inc.",Cooper City,Florida,33328,United States,26.057783,-80.2695109,"Cooper City, Broward County, Florida, United States","33328 , Cooper City , Florida"
64,Kindbody Princeton,Princeton,New Jersey,08542,United States,40.3492744,-74.6592958,"Princeton, Mercer County, New Jersey, United States","08542 , Princeton , New Jersey"
65,Life Alliance Organ Recovery Agency,Miami,Florida,33136,United States,25.787314178627003,-80.20404218192219,"Miami, Miami-Dade County, Florida, 33136, United States","33136 , Miami , Florida"
66,Stryker Puerto Rico Sales LLC,San Juan,Puerto Rico,00918,United States,-26.7982582,-55.0228553,"San Juan, Citrex, Puerto Rico, Municipio de Puerto Rico, Departamento Libertador General San Martín, Misiones, 3331, Argentina","00918 , San Juan , Puerto Rico"
67,3D Dental Designs and Development LLC,Shaker Heights,Ohio,44120,United States,41.47597320643275,-81.58245206335282,"Shaker Heights, Cuyahoga County, Ohio, 44120, United States","44120 , Shaker Heights , Ohio"
68,"NuTech Spine, Inc.",Birmingham,Alabama,35223,United States,33.5206824,-86.8024326,"Birmingham, Jefferson County, Alabama, United States","35223 , Birmingham , Alabama"
69,FMCNA Fresno,Fresno,California,93711,United States,36.82147524,-119.82788195999998,"Fresno, Fresno County, California, 93711, United States","93711 , Fresno , California"
70,"Eurofins Lancaster Laboratories, Inc",Lancaster,Pennsylvania,17601,United States,40.0726070131379,-76.32322849989143,"Lancaster County, Pennsylvania, 17601, United States","17601 , Lancaster , Pennsylvania"
71,CDC Medical LLC,Columbus,Ohio,43215,United States,39.97019849205298,-83.00356617678808,"Columbus, Franklin County, Ohio, 43215, United States","43215 , Columbus , Ohio"
72,"Peach State Medical Practice, P.C.",Austin,Texas,78701,United States,30.27043351704015,-97.74294440887022,"Austin, Travis County, Texas, 78701, United States","78701 , Austin , Texas"
73,Havencryo,San Antonio,Texas,78249,United States,29.56857722407504,-98.61441590932778,"San Antonio, Bexar County, Texas, 78249, United States","78249 , San Antonio , Texas"
74,Fellow Health Inc,San Leandro,California,94577,United States,37.71923590673684,-122.1403940731579,"San Leandro, Alameda County, California, 94577, United States","94577 , San Leandro , California"
75,M3 Medical Resources LLC,Old Bridge,New Jersey,08857,United States,40.414071,-74.3042101,"Old Bridge, Old Bridge Township, Middlesex County, New Jersey, 08857, United States","08857 , Old Bridge , New Jersey"
76,UR Medicine Labs Central Laboratory,West Henrietta,New York,14586,United States,43.0400626,-77.6616685,"West Henrietta, Town of Henrietta, Monroe County, New York, 14586, United States","14586 , West Henrietta , New York"
77,Stembanc Inc,Chardon,Ohio,44024,United States,41.575705209577926,-81.22019377646104,"Chardon, Geauga County, Ohio, 44024, United States","44024 , Chardon , Ohio"
78,Viacord LLC,Hebron,Kentucky,41048,United States,39.065813,-84.7027575,"Hebron, Boone County, Kentucky, 41048, United States","41048 , Hebron , Kentucky"
79,The Healing Bank,Augusta,Georgia,30909,United States,33.481228523272215,-82.06267984090267,"Augusta, Richmond County, Georgia, 30909, United States","30909 , Augusta , Georgia"
80,Regenerative Biologics Inc,Brooklyn,New York,11237,United States,40.70131537869023,-73.9182558089397,"Kings County, City of New York, New York, 11237, United States","11237 , Brooklyn , New York"
81,CorneaGen,Baltimore,Maryland,21228,United States,39.278217173187684,-76.7420666717799,"Baltimore County, Maryland, 21228, United States","21228 , Baltimore , Maryland"
82,Organ Procurement Agency of Michigan,Ann Arbor,Michigan,48108,United States,42.237770056612526,-83.7205163035267,"Ann Arbor, Washtenaw County, Michigan, 48108, United States","48108 , Ann Arbor , Michigan"
83,Kindbody Bryant Park,New York,New York,10016,United States,40.7127281,-74.0060152,"City of New York, New York, United States","10016 , New York , New York"
84,Xytex Laboratories,Atlanta,Georgia,30308,United States,33.77311756720099,-84.37592444950678,"Atlanta, Fulton County, Georgia, 30308, United States","30308 , Atlanta , Georgia"
85,"Republic Spine, LLC",Boca Raton,Florida,33431,United States,26.37944755612009,-80.09710963418014,"Boca Raton, Palm Beach County, Florida, 33431, United States","33431 , Boca Raton , Florida"
86,Fones Marketing Management,Orlando,Florida,32804,United States,28.5716466195122,-81.38436181219512,"Orlando, Orange County, Florida, 32804, United States","32804 , Orlando , Florida"
87,Ferny,New York,New York,10019,United States,40.7127281,-74.0060152,"City of New York, New York, United States","10019 , New York , New York"
88,"Atlanta Dental Supply, Inc.",Duluth,Georgia,30097,United States,34.0028569,-84.1441046,"Duluth, Gwinnett County, Georgia, United States","30097 , Duluth , Georgia"
89,Hiossen Inc.,Norwood,New Jersey,07648,United States,40.9981532,-73.9618039,"Norwood, Bergen County, New Jersey, 07648, United States","07648 , Norwood , New Jersey"
90,Healthcare International Partners LLC,Miramar,Florida,33027,United States,25.99065221948912,-80.33884396688741,"Miramar, Broward County, Florida, 33027, United States","33027 , Miramar , Florida"
91,"American Egg Bank, LLC",Houston,Texas,77092,United States,29.828906083923304,-95.4705428859882,"Houston, Harris County, Texas, 77092, United States","77092 , Houston , Texas"
92,Xtant Medical Holdings Inc,Belgrade,Montana,59714,United States,45.77544815386997,-111.17630650866872,"Belgrade, Gallatin County, Montana, 59714, United States","59714 , Belgrade , Montana"
93,"Osteotech, Inc.",Eatontown,New Jersey,07724,United States,40.2962222,-74.0509725,"Eatontown, Monmouth County, New Jersey, 07724, United States","07724 , Eatontown , New Jersey"
94,R & B Medical Group Inc.,Van Nuys,California,91406,United States,34.20969258103448,-118.4874811775862,"Van Nuys, Los Angeles, Los Angeles County, California, 91406, United States","91406 , Van Nuys , California"
95,VRL Eurofins,San Ramon,California,94583,United States,37.76185130645161,-121.95824885591398,"San Ramon, Contra Costa County, California, 94583, United States","94583 , San Ramon , California"
96,KLEB Inc,Louisville,Kentucky,40202,United States,38.251255884660914,-85.74952666581999,"Louisville, Jefferson County, Kentucky, 40202, United States","40202 , Louisville , Kentucky"
97,Medic Inc,Knoxville,Tennessee,37921,United States,35.97757713090738,-83.99115289650284,"Knoxville, Knox County, Tennessee, 37921, United States","37921 , Knoxville , Tennessee"
98,"LeMaitre Vascular, Inc.",Burlington,Massachusetts,01803,United States,42.5048167,-71.1956111,"Burlington, Middlesex County, Massachusetts, United States","01803 , Burlington , Massachusetts"
99,"TelaGen, LLC",Tallahassee,Florida,32308,United States,30.46878694862444,-84.23723493429303,"Tallahassee, Leon County, Florida, 32308, United States","32308 , Tallahassee , Florida"
100,Nutek Bravo LLC,Hayward,California,94545,United States,37.641352373958334,-122.11358944270832,"Hayward, Alameda County, California, 94545, United States","94545 , Hayward , California"
101,"SGF Tampa Bay, LLC",Brandon,Florida,33511,United States,27.91374528655529,-82.29601484852824,"Brandon, Hillsborough County, Florida, 33511, United States","33511 , Brandon , Florida"
102,CorneaGen Inc.,Winston Salem,North Carolina,27101,United States,36.10196660580271,-80.22841610270794,"Winston-Salem, Forsyth County, North Carolina, 27101, United States","27101 , Winston Salem , North Carolina"
103,Aziyo Biologics Inc,Richmond,California,94804,United States,37.918873387912086,-122.34419256043957,"Richmond, Contra Costa County, California, 94804, United States","94804 , Richmond , California"
104,"Gondra, Maria M, M.D., FACOG",Phoenix,Arizona,85050,United States,33.67890576982444,-112.00186853647472,"Phoenix, Maricopa County, Arizona, 85050, United States","85050 , Phoenix , Arizona"
105,MFF LLC,Scottsdale,Arizona,85260,United States,33.6024305523068,-111.8834736572574,"Scottsdale, Maricopa County, Arizona, 85260, United States","85260 , Scottsdale , Arizona"
106,Gemini Mountain Medical LLC,Englewood,Colorado,80112,United States,39.541827,-104.84612446579108,"Douglas County Soccer Association / REAL Colorado, Englewood, Douglas County, Colorado, 80112, United States","80112 , Englewood , Colorado"
107,Home Orthopedics Corp,San Juan,Puerto Rico,00918,United States,-26.7982582,-55.0228553,"San Juan, Citrex, Puerto Rico, Municipio de Puerto Rico, Departamento Libertador General San Martín, Misiones, 3331, Argentina","00918 , San Juan , Puerto Rico"
108,Marcus Rosencrantz MD A Professional Corporation,Laguna Hills,California,92653,United States,33.59414446306805,-117.6996269227219,"Acacia Knolls, Laguna Hills, Orange County, California, 92653, United States","92653 , Laguna Hills , California"
109,Healthbanks Biotech USA Inc,Irvine,California,92618,United States,33.678814928479,-117.7440965949406,"Orange County Great Park, Irvine, Orange County, California, 92618, United States","92618 , Irvine , California"
110,Strong Care Corp,Bayamon,Puerto Rico,00959,United States,18.3990551,-66.1560326,"Bayamón, Puerto Rico, United States","00959 , Bayamon , Puerto Rico"
111,"First Choice Prosthetic, Corp",Ponce,Puerto Rico,00716,United States,18.4097444,-66.0534648,"716, Avenida Juan Ponce de León, Blondet, Hato Rey Sur, San Juan, Puerto Rico, 00931, United States","00716 , Ponce , Puerto Rico"
112,Versiti Michigan Inc,Grand Rapids,Michigan,49503,United States,42.963107794251336,-85.6616826855615,"Grand Rapids, Kent County, Michigan, 49503, United States","49503 , Grand Rapids , Michigan"
113,VRL Eurofins,Waltham,Massachusetts,02451,United States,42.392831295522384,-71.25066227462686,"Waltham, Middlesex County, Massachusetts, 02451, United States","02451 , Waltham , Massachusetts"
114,Servi-Dent Inc.,Coral Gables,Florida,33134,United States,25.75554713246176,-80.27007556390964,"Coral Gables, Miami-Dade County, Florida, 33134, United States","33134 , Coral Gables , Florida"
115,Apex Biologics,Alpine,Utah,84004,United States,40.45516705,-111.77577216,"Alpine, Utah County, Utah, 84004, United States","84004 , Alpine , Utah"
116,R&B Medical Services and Supplies Inc.,Morgantown,West Virginia,26505,United States,39.64494213862069,-79.95461672931035,"Morgantown, Monongalia County, West Virginia, 26505, United States","26505 , Morgantown , West Virginia"
117,Laboratory Corporation of America ViroMed Laboratories,Burlington,North Carolina,27215,United States,36.06871756420664,-79.46427671476015,"Burlington, Alamance County, North Carolina, 27215, United States","27215 , Burlington , North Carolina"
118,ThedaCare Laboratories,Appleton,Wisconsin,54911,United States,44.27378512249589,-88.39750244367816,"Appleton, Outagamie County, Wisconsin, 54911, United States","54911 , Appleton , Wisconsin"
119,CorneaGen - Boston,Waltham,Massachusetts,02451,United States,42.3756401,-71.2358004,"Waltham, Middlesex County, Massachusetts, United States","02451 , Waltham , Massachusetts"
120,Straumann USA LLC,Andover,Massachusetts,01810,United States,42.65717,-71.1408776,"Andover, Essex County, Massachusetts, United States","01810 , Andover , Massachusetts"
121,"Zimmer US, Inc",Southaven,Mississippi,38671,United States,34.9690225868974,-89.9858860881335,"Southaven, DeSoto County, Mississippi, 38671, United States","38671 , Southaven , Mississippi"
122,"Millstone Medical Outsourcing, LLC",Olive Branch,Mississippi,38654,United States,34.95454017712821,-89.82586729128205,"Olive Branch, DeSoto County, Mississippi, 38654, United States","38654 , Olive Branch , Mississippi"
123,"DDSGadget, Inc",Bridgeton,Missouri,63044,United States,38.74757087909977,-90.4213280119116,"Bridgeton, Saint Louis County, Missouri, 63044, United States","63044 , Bridgeton , Missouri"
124,Froncare Inc,Bayside,New York,11361,United States,40.76639995,-73.7738780089654,"212-15 38th Avenue, Bayside, New York, 11361, 212-15, 38th Avenue, Bayside, Queens, City of New York, New York, 11361, United States","11361 , Bayside , New York"
125,Qualtex Laboratories,San Antonio,Texas,78201,United States,29.46533808780488,-98.52518571788616,"San Antonio, Bexar County, Texas, 78201, United States","78201 , San Antonio , Texas"
126,Northwestern Medicine,Chicago,Illinois,60611,United States,41.8949892729885,-87.6226382045977,"Near North Side, Chicago, Cook County, Illinois, 60611, United States","60611 , Chicago , Illinois"
127,UCARM Stapleton Clinic,Denver,Colorado,80238,United States,39.75569700812501,-104.8923432496875,"Denver, Colorado, 80238, United States","80238 , Denver , Colorado"
128,LifeCell Corporation,Branchburg,New Jersey,08876,United States,40.5688245,-74.70027388974506,"Branchburg Township, Somerset County, New Jersey, United States","08876 , Branchburg , New Jersey"
129,"LifeCell Corporation, A Wholly Owned Subsidiary of Allergan PLC",Branchburg,New Jersey,08876,United States,40.5688245,-74.70027388974506,"Branchburg Township, Somerset County, New Jersey, United States","08876 , Branchburg , New Jersey"
130,The Cleveland Clinic Foundation,Cleveland,Ohio,44195,United States,41.50195515,-81.61806775,"Cleveland, Cuyahoga County, Ohio, 44195, United States","44195 , Cleveland , Ohio"
131,Laboratory Corporation Of America,Burlington,North Carolina,27215,United States,36.06871756420664,-79.46427671476015,"Burlington, Alamance County, North Carolina, 27215, United States","27215 , Burlington , North Carolina"
132,"In2Bones USA, LLC",Memphis,Tennessee,38119,United States,35.0814362122294,-89.84902053880452,"Memphis, Shelby County, West Tennessee, Tennessee, 38119, United States","38119 , Memphis , Tennessee"
133,"AssureImmune, LLC",Miami,Florida,33136,United States,25.787314178627003,-80.20404218192219,"Miami, Miami-Dade County, Florida, 33136, United States","33136 , Miami , Florida"
134,"Rock Medical Orthopedics, Inc.",Hudson,Ohio,44236,United States,41.24352338729809,-81.42638584853157,"Hudson, Summit County, Ohio, 44236, United States","44236 , Hudson , Ohio"
135,"Surgi-Care, Inc.",Waltham,Massachusetts,02451,United States,42.3756401,-71.2358004,"Waltham, Middlesex County, Massachusetts, United States","02451 , Waltham , Massachusetts"
136,Children's Healthcare of Atlanta,Atlanta,Georgia,30322,United States,33.7489924,-84.3902644,"Atlanta, Fulton County, Georgia, United States","30322 , Atlanta , Georgia"
137,"NuVasive, Inc",Memphis,Tennessee,38118,United States,35.060531671810466,-89.9095353197454,"Memphis, Shelby County, West Tennessee, Tennessee, 38118, United States","38118 , Memphis , Tennessee"
138,CRA Biotech LLC.,Saint Simons Island,Georgia,31522,United States,31.1505097,-81.3695404,"Saint Simons Island, Saint Simons, Glynn County, Georgia, 31522, United States","31522 , Saint Simons Island , Georgia"
139,MWM Medical,Chicago,Illinois,60612,United States,41.879570904866185,-87.68539324476886,"Near West Side, Chicago, Cook County, Illinois, 60612, United States","60612 , Chicago , Illinois"
140,Eagle Ortho LLC,Overland Park,Kansas,66207,United States,38.9685,-94.6627,"Kansas Korean Mission Church, Glenwood Street, Broadmoor, Overland Park, Johnson County, Kansas, 66212, United States","66207 , Overland Park , Kansas"
141,Goetze-Niemer Co Inc,Kansas City,Missouri,64117,United States,39.1691317719346,-94.52655736839236,"Kansas City, Jackson County, Missouri, 64117, United States","64117 , Kansas City , Missouri"
142,Bio Tech Med Corp.,San German,Puerto Rico,00683,United States,18.0808972,-67.0408635,"San Germán, Puerto Rico, United States","00683 , San German , Puerto Rico"
143,Lifegift Organ Donation Center,Houston,Texas,77054,United States,29.686878357391304,-95.3834042547826,"Houston, Harris County, Texas, 77054, United States","77054 , Houston , Texas"
144,"Brown Urology, Inc.",Providence,Rhode Island,02905,United States,41.780206,-71.4087604910087,"Rose Island, Providence, Providence County, Rhode Island, United States","02905 , Providence , Rhode Island"
145,TForce,Saint Louis,Missouri,63146,United States,38.68948137827298,-90.44965063955432,"Maryland Heights, Saint Louis County, Missouri, 63146, United States","63146 , Saint Louis , Missouri"
146,"Duma Co Sciences, LLC",Dallas,Texas,75287,United States,32.9994725328084,-96.8474137343832,"Dallas, Dallas County, Texas, 75287, United States","75287 , Dallas , Texas"
147,"Genesys Orthopedics Systems, LLC",West Lake Hills,Texas,78746,United States,30.298938284264302,-97.80703282230928,"West Lake Hills, Travis County, Texas, 78746, United States","78746 , West Lake Hills , Texas"
148,CARE for the Bay Area,Los Gatos,California,95032,United States,37.213697,-121.9821641,"California Province of the Society of Jesus Jesuit Center Library, College Avenue, Los Gatos, Santa Clara County, California, 95030, United States","95032 , Los Gatos , California"
149,"Orthobone, Inc.",San Juan,Puerto Rico,00918,United States,-26.7982582,-55.0228553,"San Juan, Citrex, Puerto Rico, Municipio de Puerto Rico, Departamento Libertador General San Martín, Misiones, 3331, Argentina","00918 , San Juan , Puerto Rico"
150,"Elite Orthopedics, LLC",Chesterfield,Missouri,63005,United States,38.64611097213144,-90.61833031267791,"Chesterfield, Saint Louis County, Missouri, 63005, United States","63005 , Chesterfield , Missouri"
151,Clinical Pathology Laboratories,Austin,Texas,78758,United States,30.38121841105288,-97.70710744092425,"Austin, Travis County, Texas, 78758, United States","78758 , Austin , Texas"
152,"Polansky, Francis, M.D., Inc",Palo Alto,California,94306,United States,37.42249685419847,-122.1353773129771,"Palo Alto, Santa Clara County, California, 94306, United States","94306 , Palo Alto , California"
